index,Rg_Voltage(mV)(Ch1_Ch2),Gen_Voltage(mV)(Ch2),GS_Voltage(mV)(Ch2),Rn_Voltage(mV)(Ch3),DS_Voltage(mV)(Ch4),Rg_Voltage(mV)(Ch1_Ch2_no_Un),GS_Voltage(mV)(Ch1_Ch2_no_Un)
234,0.0,2480.0,2480.0,8480.0,0.0,80.0,2240.0
235,80.0,2480.0,2560.0,8480.0,0.0,80.0,2240.0
236,0.0,2560.0,2480.0,8480.0,0.0,80.0,2240.0
237,0.0,2560.0,2560.0,8480.0,0.0,160.0,2320.0
238,0.0,2480.0,2480.0,8400.0,0.0,80.0,2240.0
239,0.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
240,80.0,2480.0,2480.0,8480.0,0.0,80.0,2320.0
241,0.0,2480.0,2480.0,8480.0,0.0,80.0,2320.0
242,0.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
243,0.0,2480.0,2560.0,8480.0,0.0,0.0,2320.0
244,0.0,2480.0,2560.0,8400.0,0.0,80.0,2320.0
245,0.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
246,0.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
247,0.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
248,0.0,2560.0,2560.0,8560.0,0.0,80.0,2320.0
249,0.0,2560.0,2560.0,8480.0,0.0,80.0,2240.0
250,0.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
251,0.0,2560.0,2480.0,8480.0,0.0,80.0,2320.0
252,0.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
253,0.0,2560.0,2480.0,8480.0,0.0,0.0,2320.0
254,0.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
255,0.0,2560.0,2560.0,8400.0,0.0,80.0,2320.0
256,0.0,2480.0,2480.0,8480.0,80.0,80.0,2320.0
257,0.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
258,0.0,2480.0,2480.0,8480.0,0.0,80.0,2240.0
259,0.0,2480.0,2560.0,8480.0,0.0,0.0,2320.0
260,0.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
261,0.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
