TimeUs,Urg (Ch1),Ugen,Ugs (Ch2),Urn (Ch3),Uds (Ch4)
142,1440.0,1997.3333333333333,602.6666666666666,3482.6666666666665,4301.333333333333
143,1434.6666666666667,1994.6666666666667,602.6666666666666,3472.0,4312.0
144,1429.3333333333333,1992.0,602.6666666666666,3461.3333333333335,4320.0
145,1424.0,1986.6666666666667,602.6666666666666,3450.6666666666665,4333.333333333333
146,1416.0,1978.6666666666667,600.0,3440.0,4344.0
147,1410.6666666666667,1973.3333333333333,600.0,3429.3333333333335,4354.666666666667
148,1408.0,1968.0,600.0,3418.6666666666665,4365.333333333333
149,1402.6666666666667,1962.6666666666667,600.0,3410.6666666666665,4376.0
150,1400.0,1957.3333333333333,600.0,3400.0,4386.666666666667
151,1394.6666666666667,1952.0,600.0,3389.3333333333335,4397.333333333333
152,1389.3333333333333,1944.0,600.0,3378.6666666666665,4408.0
153,1386.6666666666667,1938.6666666666667,597.3333333333334,3370.6666666666665,4416.0
154,1381.3333333333333,1933.3333333333333,597.3333333333334,3362.6666666666665,4424.0
155,1376.0,1928.0,597.3333333333334,3352.0,4434.666666666667
156,1370.6666666666667,1922.6666666666667,597.3333333333334,3341.3333333333335,4445.333333333333
157,1365.3333333333333,1917.3333333333333,600.0,3333.3333333333335,4456.0
158,1360.0,1914.6666666666667,600.0,3322.6666666666665,4466.666666666667
159,1354.6666666666667,1909.3333333333333,600.0,3309.3333333333335,4474.666666666667
160,1349.3333333333333,1904.0,600.0,3296.0,4485.333333333333
161,1344.0,1896.0,597.3333333333334,3285.3333333333335,4498.666666666667
162,1338.6666666666667,1890.6666666666667,597.3333333333334,3272.0,4506.666666666667
163,1333.3333333333333,1882.6666666666667,597.3333333333334,3258.6666666666665,4517.333333333333
164,1328.0,1877.3333333333333,597.3333333333334,3248.0,4525.333333333333
165,1322.6666666666667,1872.0,597.3333333333334,3237.3333333333335,4538.666666666667
166,1317.3333333333333,1869.3333333333333,597.3333333333334,3226.6666666666665,4549.333333333333
167,1314.6666666666667,1864.0,594.6666666666666,3218.6666666666665,4560.0
168,1312.0,1858.6666666666667,594.6666666666666,3208.0,4568.0
169,1309.3333333333333,1856.0,594.6666666666666,3197.3333333333335,4578.666666666667
170,1304.0,1853.3333333333333,594.6666666666666,3186.6666666666665,4589.333333333333
171,1298.6666666666667,1845.3333333333333,594.6666666666666,3176.0,4600.0
172,1296.0,1840.0,594.6666666666666,3168.0,4610.666666666667
173,1290.6666666666667,1834.6666666666667,594.6666666666666,3160.0,4624.0
174,1288.0,1829.3333333333333,594.6666666666666,3149.3333333333335,4634.666666666667
175,1285.3333333333333,1826.6666666666667,594.6666666666666,3138.6666666666665,4645.333333333333
176,1282.6666666666667,1821.3333333333333,594.6666666666666,3128.0,4656.0
177,1277.3333333333333,1816.0,594.6666666666666,3117.3333333333335,4666.666666666667
178,1272.0,1810.6666666666667,594.6666666666666,3106.6666666666665,4677.333333333333
