index,Rg_Voltage(mV)(Ch1_Ch2),Gen_Voltage(mV)(Ch2),GS_Voltage(mV)(Ch2),Rn_Voltage(mV)(Ch3),DS_Voltage(mV)(Ch4),Rg_Voltage(mV)(Ch1_Ch2_no_Un),GS_Voltage(mV)(Ch1_Ch2_no_Un)
340,-640.0,3040.0,3760.0,8560.0,80.0,-720.0,3680.0
341,-640.0,3040.0,3760.0,8560.0,0.0,-720.0,3680.0
342,-640.0,3040.0,3760.0,8560.0,80.0,-720.0,3680.0
343,-560.0,3040.0,3760.0,8560.0,80.0,-720.0,3600.0
344,-640.0,3040.0,3760.0,8560.0,80.0,-720.0,3600.0
345,-640.0,3040.0,3760.0,8560.0,80.0,-720.0,3600.0
346,-640.0,3040.0,3760.0,8560.0,80.0,-720.0,3600.0
347,-640.0,2960.0,3760.0,8560.0,80.0,-720.0,3600.0
348,-640.0,3040.0,3760.0,8560.0,80.0,-720.0,3600.0
349,-640.0,3040.0,3680.0,8560.0,80.0,-720.0,3600.0
350,-640.0,2960.0,3760.0,8560.0,0.0,-720.0,3600.0
351,-640.0,2960.0,3760.0,8560.0,80.0,-720.0,3600.0
352,-640.0,2960.0,3680.0,8560.0,80.0,-720.0,3600.0
353,-640.0,2960.0,3760.0,8560.0,0.0,-800.0,3520.0
354,-640.0,2960.0,3760.0,8560.0,80.0,-720.0,3520.0
355,-640.0,2960.0,3760.0,8560.0,80.0,-800.0,3520.0
356,-640.0,2960.0,3680.0,8560.0,80.0,-720.0,3600.0
357,-640.0,2960.0,3680.0,8560.0,0.0,-720.0,3520.0
358,-640.0,2960.0,3680.0,8560.0,80.0,-800.0,3600.0
359,-640.0,2960.0,3680.0,8560.0,0.0,-720.0,3600.0
360,-640.0,2960.0,3680.0,8560.0,80.0,-800.0,3520.0
361,-640.0,2960.0,3680.0,8560.0,80.0,-800.0,3600.0
362,-640.0,2880.0,3680.0,8560.0,80.0,-800.0,3520.0
363,-640.0,2880.0,3680.0,8560.0,80.0,-720.0,3520.0
364,-640.0,2880.0,3680.0,8560.0,80.0,-800.0,3520.0
365,-640.0,2880.0,3680.0,8560.0,80.0,-720.0,3520.0
366,-640.0,2880.0,3680.0,8560.0,0.0,-800.0,3520.0
367,-640.0,2880.0,3680.0,8560.0,0.0,-720.0,3520.0
368,-640.0,2880.0,3680.0,8560.0,0.0,-720.0,3520.0
369,-640.0,2880.0,3680.0,8560.0,80.0,-720.0,3520.0
370,-640.0,2880.0,3680.0,8560.0,0.0,-720.0,3520.0
371,-640.0,2880.0,3680.0,8560.0,80.0,-720.0,3520.0
